Property_ID_Raw,Sale_Counter,Street_Number,Street_Name,Suburb,Postcode,Land Size,Contract_Date,Settlement_Date,Sale_Price,Zoning,Property_type,Dealing_Number,Contract_Year,Days_to_Settlement,Land Size Original
6041724,5,15,ELLIS ST,Chatswood,2067,154.0,2022-10-21,2026-05-25,2795000,,RESIDENCE,AW150924,2022,1312,154.0
6041724,6,15,ELLIS ST,Chatswood,2067,111.0,2023-01-17,2026-05-25,2150000,,RESIDENCE,AW151509,2023,1224,111.0
6041724,7,15,ELLIS ST,Chatswood,2067,143.0,2024-05-24,2026-06-03,3100000,,RESIDENCE,AW180731,2024,740,143.0
6041724,8,15,ELLIS ST,Chatswood,2067,111.0,2023-10-23,2026-05-25,2250000,,RESIDENCE,AW151090,2023,945,111.0
6041724,9,15,ELLIS ST,Chatswood,2067,155.0,2022-10-19,2026-05-25,3245000,,RESIDENCE,AW151106,2022,1314,155.0
6041724,10,15,ELLIS ST,Chatswood,2067,156.0,2022-10-20,2026-05-25,2950000,,RESIDENCE,AW151072,2022,1313,156.0
6041724,11,15,ELLIS ST,Chatswood,2067,178.0,2022-10-24,2026-05-25,4050000,,RESIDENCE,AW151004,2022,1309,178.0
6041724,12,15,ELLIS ST,Chatswood,2067,162.0,2023-04-20,2026-05-25,3850000,,RESIDENCE,AW151094,2023,1131,162.0
6059657,13,71 B,EDDY RD,Chatswood,2067,435.2,2026-07-20,2026-08-17,4420000,R2,RESIDENCE,AW379419,2026,28,435.2
958148,18,1,EDDY RD,Chatswood,2067,170.0,2026-06-22,2026-08-14,719000,,RESIDENCE,AW376631,2026,53,170.0
958731,22,5,GIBBES ST,Chatswood,2067,1170.0,2026-03-12,2026-08-12,3100000,E4,RESIDENCE,AW369697,2026,153,1170.0
958944,23,10,GOODCHAP RD,Chatswood,2067,318.5,2026-07-07,2026-08-18,2325000,R2,RESIDENCE,AW383186,2026,42,318.5
971187,28,5,SPENCER PL,Chatswood,2067,714.5,2026-05-23,2026-08-14,3100000,R2,RESIDENCE,AW375149,2026,83,714.5
971818,31,8,SUTHERLAND RD,Chatswood,2067,170.0,2026-07-08,2026-08-14,745000,,RESIDENCE,AW376423,2026,37,170.0
967406,36,884,PACIFIC HWY,Chatswood,2067,170.0,2026-06-30,2026-08-18,1220000,,RESIDENCE,AW382834,2026,49,170.0
2893585,38,2 A,HELP ST,Chatswood,2067,170.0,2026-05-22,2026-08-14,647000,,RESIDENCE,AW374898,2026,84,170.0
851036,9,44,THOMAS ST,Parramatta,2150,104.5,2026-07-09,2026-08-06,920000,,RESIDENCE,AW355135,2026,28,104.5
2776506,12,77,THOMAS ST,Parramatta,2150,104.5,2026-06-21,2026-08-06,1300000,,RESIDENCE,AW355898,2026,46,104.5
3456431,14,23,NAPIER ST,Parramatta,2150,104.5,2026-06-19,2026-07-31,672000,,RESIDENCE,AW343151,2026,42,104.5
3465423,15,69,HIGH ST,Parramatta,2150,104.5,2026-06-24,2026-07-31,561000,,RESIDENCE,AW341772,2026,37,104.5
855106,30,29 A,GREAT WESTERN HWY,Parramatta,2150,104.5,2026-06-25,2026-08-06,420000,,RESIDENCE,AW355404,2026,42,104.5
3699555,60,118 A,CHURCH ST,Parramatta,2150,131.0,2026-06-22,2026-08-04,750000,,RESIDENCE,AW348377,2026,43,131.0
